city;year;quarter;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39;v40;v41;v42;v43;v44;v45;v46;v47;v48;v49;v50;v51;v52;v53;v54;v55;v56;v57;v58;v59;v60;v61;v62;v63;v64;v65;v66;v67;v68;v69;v70;v71;v72;v73;v74;v75;v76;v77;v78;v79;v80
15;88;1;0.586;-0.528;-0.792;0.221;0.414;-2.367;1.572;-0.434;-0.259;0.1;0.909;1.376;-0.109;-0.343;-1.21;1.007;-0.915;0.34;0.194;-0.187;-2.097;0.152;-0.023;1.145;0.289;1.219;0.038;2.144;1.275;0.982;-1.815;-0.16;1.276;-0.721;-0.799;0.677;-0.412;-1.134;-2.474;-0.672;-0.406;-0.094;-1.815;-0.499;-0.666;-0.273;1.586;0.009;-0.495;-0.05;0.852;0.426;2.033;-0.976;-0.136;-0.46;-2.167;2.528;1.752;0.785;0.771;1.031;-1.106;0.062;-1.645;-1.022;0.181;-1.33;1.04;-0.324;-0.93;-1.126;-0.336;-0.165;-0.267;-1.518;1.787;0.056;0.734;-1.114
16;88;1;-2.354;0.434;-0.57;1.084;0.861;0.969;0.53;0.866;0.291;1.02;-1.658;0.722;-0.387;1.101;1.563;0.98;0.389;0.344;1.268;-0.709;-1.082;0.25;0.357;-0.633;-0.56;-0.24;-0.764;2.428;0.706;0.188;-1.426;0.03;0.957;-0.188;-0.673;1.693;-0.026;0.589;-0.459;1.363;-0.431;0.934;-0.514;0.694;-0.549;-0.146;0.436;-0.269;-0.064;0.271;-0.092;-1.203;0.828;-0.692;1.482;-0.327;1.691;-0.102;-0.465;-0.546;0.666;0.044;1.192;-1.897;-1.491;-0.276;0.378;0.849;0.992;-0.091;-0.107;-0.452;-1.538;1.17;-0.939;0.926;0.713;2.2;0.393;2.056
18;88;1;-0.286;1.202;-0.182;0.365;0.492;-1.513;0.485;2.592;-1.27;-0.292;0.753;0.183;-0.49;0.561;0.52;1.234;0.157;-0.765;2.037;-0.266;-2.349;0.049;0.025;-0.341;-1.878;-1.351;-0.14;0.222;0.342;0.201;0.683;-0.869;-0.206;0.799;1.964;-0.173;0.936;0.633;-1.507;-0.594;0.378;1.709;-0.595;-0.643;-1.74;0.718;-0.053;-0.114;0.128;-1.693;0.776;-0.617;-3.096;0.281;-0.694;-0.779;0.534;1.165;-1.982;-1.005;0.818;-0.834;1.146;0.479;-1.301;0.303;-0.755;-1.434;1.454;0.307;2.365;-0.208;-0.583;0.055;1.575;0.361;1.125;-0.203;0.782;0.661
20;88;1;-0.13;0.858;-0.593;0.991;0.654;0.186;-0.663;-2.376;-1.353;1.73;-0.903;-0.062;0.55;-0.716;0.798;-0.673;-0.539;-1.04;-1.86;1.415;0.766;-1.08;1.622;-0.621;-1.051;0.048;-0.168;-0.503;1.331;0.35;0.121;-0.05;-0.473;1.42;0.604;-0.174;-0.088;1.191;-0.055;1.269;0.425;-0.392;-1.396;1.085;0.726;1.469;0.305;0.522;0.552;-0.704;0.171;-2.054;-0.113;1.711;-0.592;0.145;-0.426;-1.096;-0.707;-0.403;2.569;0.944;-0.121;0.046;1.063;0.924;-0.99;-1.297;-0.018;-0.371;0.651;-0.561;-1.791;-1.359;-1.154;0.197;-0.648;-0.829;-1.048;-1.272
23;88;1;0.401;-0.462;-0.62;0.504;1.425;0.796;-0.787;0.82;1.414;-0.055;-0.982;-0.877;0.525;-0.102;-1.13;-0.146;0.231;0.137;-0.854;-1.005;1.624;0.503;-1.461;0.972;-0.724;1.993;-0.228;-0.192;0.247;0.885;0.805;-0.891;0.171;-0.933;0.763;0.681;-0.023;0.707;1.833;-0.363;0.632;1.109;0.422;0.444;0.032;-1.331;-0.393;0.437;-1.598;-2.625;0.465;-0.883;0.729;-0.404;0.137;0.868;-0.16;-0.999;1.759;0.692;-0.134;1.237;-1.308;-0.894;-0.433;0.934;0.872;-1.425;0.308;-1.497;0.086;-0.42;1.054;0.571;2.046;-0.137;-0.366;2.818;-0.214;0.153
24;88;1;-0.118;1.077;0.279;1.191;-1.342;-2;-0.613;0.122;-1.824;-0.8;0.617;-1.022;1.312;0.571;-1.987;-1.645;1.625;0.122;1.117;0.712;0.041;-1.275;0.543;-2.294;0.588;0.556;1.044;-0.327;0.201;-0.391;1.671;-1.214;-1.07;-1.61;1.393;0.306;-1.327;-0.668;-0.141;-0.178;-0.276;-0.293;1.722;1.956;-0.135;1.215;-1.058;-0.199;-0.581;0.459;0.774;0.381;1.785;-0.899;-0.317;-0.651;-0.993;-0.647;-1.34;1.277;-0.823;-0.298;0.199;-0.461;-0.737;1.879;-0.514;-2.809;0.203;-0.44;0.114;0.289;-1.536;1.39;0.808;1.041;-0.197;0.259;-0.404;-0.039
25;88;1;1.851;1.44;-1.054;0.208;-0.096;-1.534;0.911;-0.472;0.934;1.103;-1.659;1.193;-0.148;1.022;-1.084;0.043;-0.757;-1.707;0.289;1.682;1.594;0.53;0.709;-0.311;-1.907;0.958;-0.548;-0.662;-0.649;-0.211;2.536;0.127;-1.754;0.227;-0.694;0.75;-0.094;0.689;0.352;-0.32;0.43;0.082;-0.951;0.434;0.29;-0.87;-1.39;-0.486;1.265;-0.281;0.301;1.297;-1.413;1.767;-0.072;0.95;2.027;-0.008;-0.292;-0.81;0.602;-2.342;-2.463;0.252;0.462;0.834;-0.367;1.458;0.788;0.163;0.674;1.023;-0.704;-0.335;-0.747;-0.789;1.449;0.402;0.136;0.483
26;88;1;1.365;-1.121;0.689;0.293;1.352;-0.638;-0.051;0.819;-0.083;-0.552;0.021;-0.757;0.411;1.757;0.567;-1.399;0.556;0.341;0.233;-0.347;-0.226;0.466;-0.034;-0.277;-0.54;-2.272;0.266;-0.477;-0.981;1.423;-0.637;1.314;0.039;-0.553;1.234;-0.978;-1.913;0.42;0.21;-0.872;-0.943;0.58;-1.731;0.392;0.171;1.254;1.37;-0.474;0.045;-0.915;-0.579;-0.873;1.141;-0.169;-0.7;-1.856;0.297;2.032;-1.232;-0.938;1.911;-0.757;-0.507;-0.226;-0.61;-0.151;-0.48;-0.74;0.495;-0.398;0.326;-1.302;1.106;-1.565;0.988;-0.78;1.592;-1.118;-0.402;0.437
27;88;1;-0.051;-0.73;0.523;0.641;-0.216;0.379;-1.122;2.388;-0.574;-0.07;-0.445;0.684;-0.814;-0.29;1.438;0.511;1.279;-0.194;-0.129;0.581;-0.979;-0.935;-1.035;-0.675;0.242;0.811;-0.428;-2.213;1.381;-1.311;0.198;0.371;-0.85;-0.416;-0.491;0.353;0.515;0.455;0.383;0.436;0.979;0.367;-0.72;0.817;1.438;-0.273;-0.871;1.15;0.812;-0.066;0.339;0.656;-1.026;-0.041;-0.314;-1.478;1.629;0.663;-1.529;1.334;-2.501;0.003;0.149;-1.274;0.574;0.71;0.907;-0.538;1.111;-0.658;-1.11;-0.015;0.543;-1.604;-1.046;0.357;-0.359;1.06;-0.391;-0.042
29;88;1;0.659;0.818;-0.717;-0.865;1.157;-0.237;0.981;-1.547;0.156;0.143;1.012;0.833;-0.528;0.084;-0.179;0.094;-0.491;1.139;0.755;-0.492;0.546;-0.109;0.117;-1.267;-0.869;0.752;-0.478;-0.628;-0.523;0.385;0.191;0.469;-0.784;-0.38;0.736;0.34;0.536;0.786;0.092;1.424;0.448;0.991;0.534;0.55;-1.309;1.343;-0.039;-2.125;-0.998;0.81;1.054;-0.242;-0.467;0.853;0.067;-0.664;1.206;-0.841;-1.818;0.561;-0.528;0.647;-0.341;0.387;-1.3;2.257;-0.603;0.057;-0.087;0.659;-0.531;0.311;1.29;1.331;0.027;-0.968;-0.399;0.442;0.596;-0.502
30;88;1;0.331;0.988;1.557;0.87;0.574;1.028;0.537;-0.893;0.394;0.208;0.327;0.465;2.09;-2.198;-0.359;1.622;-1.022;0.077;0.129;-0.049;-2.659;1.278;0.387;-0.036;-1.868;1.923;0.296;-0.534;-1.013;-1.268;-0.715;1.807;0.091;-0.714;0.787;0.751;0.18;-1.556;0.221;-0.108;-1.32;0.07;-0.636;-0.195;0.199;-0.043;1.277;-0.171;-0.111;-0.001;-0.043;0.372;0.193;0.758;-0.405;0.895;1.081;0.597;-1.322;0.396;0.357;-1.395;-0.267;-0.303;1.739;-0.204;-0.261;-0.642;0.489;-1.758;-0.828;0.609;0.116;-1.582;-2.102;0.355;0.119;0.653;-1.396;1.687
31;88;1;0.005;-0.866;2.002;0.389;0.677;-1.22;-0.488;0.576;-0.069;0.236;-1.149;-1.342;0.917;1.305;0.457;-1.792;-1.513;1.077;0.2;-1.457;0.253;0.505;-1.117;0.859;-1.174;0.284;0.699;-0.71;-1.12;-0.114;-0.236;0.447;1.09;-0.574;-0.515;-0.124;1.465;0.004;-0.311;1.083;-1.3;-0.13;-0.422;-0.031;-0.215;1.958;-1.165;0.819;0.035;-0.058;0.822;0.641;0.034;-0.823;-0.769;-0.541;0.58;0.204;0.524;0.707;-1.355;0.182;-0.398;-1.179;-0.059;-1.44;-0.452;0.912;0.029;-0.927;0.892;0.088;-0.585;-1.726;-0.755;0.92;-0.761;1.123;0.763;-1.833
32;88;1;-0.939;0.401;-0.007;-1.411;0.686;-0.346;0.807;1.978;0.195;0.95;0.083;0.414;2.467;0.425;-0.842;-2.191;-1.428;-0.687;-0.374;0.08;1.53;-1.223;1.244;-0.319;-0.644;1.888;-0.292;-0.137;-0.244;-0.149;-1.135;0.426;-1.084;1.681;-0.548;1.297;-1.064;1.324;0.82;1.185;1.16;1.051;-0.103;-0.341;0.133;-0.003;1.861;0.867;1.062;-0.76;2.607;-0.59;0.59;-0.909;-2.594;0.722;1.013;-1.16;0.247;0.163;0.092;-1.546;1.472;0.782;-1.382;0.223;0.963;0.348;-1.407;-0.029;0.134;0.489;-1.685;2.093;-1.524;-0.694;-0.783;-0.051;-0.884;-1.427
33;88;1;-0.101;0.81;-0.536;1.715;1.755;-0.825;1.041;1.01;-1.077;1.121;0.726;-0.495;0.803;-1.826;-1.933;-0.145;-1.309;-0.217;-0.422;1.253;-0.824;0.599;-1.125;0.375;1.311;-0.006;-0.683;-0.076;1.477;-1.811;-0.36;-1.941;0.505;1.331;-2.225;0.971;-0.679;-0.378;-0.899;0.903;-0.012;1.002;-0.068;-0.958;0.908;0.85;1.845;0.593;0.101;-1.747;1.45;-0.019;-0.904;-0.541;0.511;0.09;-1.311;2.22;-1.007;0.777;0.546;-1.318;0.319;1.305;-2.481;0.993;1.079;0.463;-0.416;0.858;0.106;-0.621;-0.42;-1.5;-1.092;0.066;2.106;1.604;-0.158;1.009
34;88;1;-0.199;-0.831;0.845;-0.373;-1.231;0.03;1.17;-0.331;0.556;-0.049;-1.952;0.006;-0.038;0.113;0.791;-0.201;0.668;-1.076;-1.093;-0.595;0.214;-0.186;0.39;-2.339;-0.854;-0.008;-2.467;2.089;0.891;-0.256;-0.58;-2.304;0.693;-0.24;1.38;0.007;0.752;-0.103;0.191;0.012;0.09;-1.081;2.26;-1.238;2.422;1.141;-1.457;-0.64;0.206;-0.381;1.107;-0.482;0.238;-0.027;0.231;-0.463;-1.535;0.358;-0.162;0.065;-1.32;0.835;0.034;-0.298;-2.709;-0.087;1.163;-0.833;1.597;0.133;0.467;-1.301;-0.773;-3.232;0.954;-0.864;1.086;-0.107;0.21;0.643
35;88;1;-0.635;-0.156;-0.173;0.669;0.994;0.96;1.555;-0.919;-1.105;0.825;-1.271;-0.374;2.279;0.886;-1.083;-0.205;-0.24;-0.172;0.475;0;1.17;1.766;1.331;0.791;2.141;1.352;-0.533;-0.745;-0.804;0.07;1.417;-1.962;-0.84;0.888;-0.796;-2.047;0.647;-0.266;-0.199;0.971;0.687;0.119;-0.313;1.612;1.618;0.417;2.238;1.069;1.341;-0.024;0.231;0.619;-0.694;-0.964;0.143;1.487;-0.97;-0.404;2.011;-1.753;-1.045;1.29;-0.132;0.177;2.204;0.988;0.241;1.307;0.932;-1.575;-1.361;0.442;-1.436;1.258;1.855;1.102;0.954;0.056;0.571;0.978
36;88;1;-1.473;-0.711;0.561;1.861;-0.617;-0.323;1.008;0.18;-0.612;-0.288;0.615;-0.263;0.015;0.525;-0.254;0.502;-0.109;1.119;0.436;0.855;-1.218;-0.481;0.814;-0.673;1.182;-0.143;0.693;-0.504;0.235;0.15;1.197;-0.808;-0.294;0.461;-1.051;-0.974;-0.302;-0.152;2.712;-1.72;-0.837;0.842;1.68;-0.354;0.598;0.043;0.17;-2.734;0.142;0.343;0.903;0.748;1.379;-0.586;1.064;-0.188;0.345;2.037;-0.068;1.175;-0.866;-0.157;-1.723;2.277;0.106;-1.218;1.417;0.699;0.869;1.778;-0.259;-0.633;-0.208;-0.31;0.41;-1.365;0.174;0.461;-1.034;0.28
37;88;1;0.301;0.394;-0.955;-0.078;-1.077;-0.197;-1.801;-0.236;1.369;1.657;1.645;0.045;1.182;0.514;0.374;0.208;0.657;1.053;-2.593;-0.146;1.409;-0.253;-0.225;-0.285;-0.932;-0.363;0.179;-0.341;0.469;1.812;-0.968;-1.81;-0.291;0.594;-0.256;0.437;-1.192;-1.102;1.314;-0.527;-0.685;-0.991;0.562;0.793;-0.418;0.83;1.546;-0.654;-0.621;0.856;0.132;0.236;-1.237;0.78;-1.236;0.082;1.363;-0.948;-0.791;-1.527;-0.733;0.027;-0.75;0.564;0.179;0.721;-0.383;0.138;-0.101;0.889;0.285;-2.066;-0.762;0.486;-0.245;-0.899;-0.7;-0.202;0.668;0.526
38;88;1;-0.894;-1.252;-1.265;0.326;0.474;0.233;-0.353;-0.43;-1.806;-0.603;0.037;0.391;-0.645;-0.701;-1.31;0.538;0.243;-0.636;0.76;1.987;0.184;1.07;-1.001;-0.429;0.892;0.417;0.286;-1.225;1.215;1.643;1.092;0.953;-1.431;1.026;-1.074;-1.033;-0.485;-1.852;0.135;0.314;0.466;-0.695;-1.123;-0.427;-1.563;0.018;2.356;0.075;2.041;0.263;0.459;-0.146;-1.929;1.16;1.318;2.035;0.156;-1.14;1.112;-0.841;-0.233;-0.26;0.613;0.224;0.918;-0.378;1.927;1.687;0.652;-0.701;0.321;-0.013;-0.543;0.471;0.37;1.506;0.198;0.884;0.301;-2.517
39;88;1;0.007;0.2;0.505;0.419;1.641;0.365;-0.29;-0.563;-0.352;-1.243;0.603;1.429;-1.328;0.298;-1.311;0.142;-0.661;-0.465;-0.566;1.192;-0.107;0.045;-1.281;-0.799;0.094;-0.111;0.196;-0.118;0.285;2.282;1.003;0.951;0.888;-2.021;2.07;-0.986;-0.089;3;1.991;-0.343;-1.095;-0.038;-0.103;1.716;0.702;0.749;1.758;0.061;-1.101;-0.347;-1.878;-0.244;1.609;-0.832;-0.072;0.393;0.175;0.551;1.011;-1.231;-0.276;-0.067;-1.061;-0.539;0.453;0.161;-1.774;0.382;0.605;0.291;0.723;-0.732;-1.093;1.038;3.129;0.606;1.117;-0.033;1.636;0.354
40;88;1;-1.076;-0.434;-1.166;-0.043;0.47;-0.6;0.03;-1.369;0.155;0.22;0.674;1.346;-1.815;0.823;0.465;2.271;1.66;-0.941;-0.037;-0.534;-0.027;-0.573;-0.699;0.365;0.652;-0.449;0.111;-0.392;-0.522;1.568;0.769;-0.516;0.505;-1.882;-1.08;-1.281;-0.907;-0.625;-0.32;-0.084;1.478;-0.501;0.238;-1.792;0.159;-1.811;-0.605;2.707;-0.057;0.399;-1.113;-3.097;0.196;0.333;-1.31;-1.082;0.114;-1.554;-1.05;1.175;-0.291;0.224;1.333;0.022;0.162;-0.358;-1.037;0.864;-0.846;2.079;1.371;-0.042;0.934;-0.642;-1.98;-2.67;-0.317;-0.493;0.165;1.046
41;88;1;0.102;-0.132;-0.648;-0.965;1.196;-0.405;0.527;-1.367;-0.782;-1.211;-0.798;0.567;0.895;-1.41;1.522;1.166;-0.033;1.06;-0.895;0.253;0.918;0.016;2.103;0.436;0.203;-0.245;-0.264;0.158;-1.072;-0.41;1.205;0.184;0.62;0.095;1.101;0.699;-0.9;-1.452;-0.393;0.268;-0.206;0.25;-1.261;0.282;-1.178;-0.184;-0.589;1.468;-0.79;0.742;0.482;1.593;0.809;-1.602;-0.791;-0.206;0.325;-1.699;-0.301;-0.598;-0.392;0.099;-0.242;0.327;-0.906;0.028;1.057;-0.274;-1.899;1.522;-0.278;-0.089;1.335;-1.787;-1.018;0.125;-1.567;-0.496;-0.806;-0.203
43;88;1;-1.918;-0.65;0.313;1.364;-0.113;0.408;0.038;-0.148;0.241;0.482;-2.827;0.577;0.598;0.268;1.426;-0.24;0.839;0.982;0.968;1.276;0.715;0.893;2.429;-1.075;-0.693;0.255;1.648;0.654;0.749;1.163;-0.095;-1.116;-0.605;0.93;1.026;1.81;0.113;-0.898;-0.857;1.349;-0.336;-0.49;-0.437;-0.045;0.18;-0.483;0.9;0.278;-2.302;-1.159;-0.738;0.939;-0.851;0.811;-0.555;-1.109;-1.171;0.224;-0.436;-1.102;-0.379;1.089;0.168;0.338;-1.879;1.468;-0.668;1.232;-0.449;0.728;-0.664;-0.836;0.592;0.467;0.009;0.901;-0.985;-0.447;0.582;-0.967
44;88;1;1.147;0.43;0.436;-2.107;-1.084;-1.724;-1.792;0.585;-0.271;0.606;0.983;0.2;-0.118;0.398;-0.109;-0.675;-1.835;-1.5;-2.366;0.167;0.117;-1.816;-0.845;-0.245;2.107;0.899;0.293;0.016;1.536;1.154;0.177;-0.281;0.418;-1.7;0.332;0.644;-1.208;-0.037;-0.101;0.686;-0.478;-0.376;0.123;-1.197;-1.359;-0.538;-0.967;-0.615;-1.177;0.842;0.216;-0.364;0.063;-0.989;-1.305;-0.328;-0.6;-0.909;-2.475;-0.314;0.677;-0.389;0.903;-0.518;0.655;-1.363;-0.883;1.389;-1.606;-1.969;-0.051;0.076;-1.943;-0.398;0.901;1.956;-2.081;0.208;-0.378;-3.628
45;88;1;-1.215;0.19;0.664;-0.128;-1.577;0.805;-0.425;-1.16;-0.344;-1.44;-0.012;-1.297;-0.763;0.235;-0.609;-0.184;0.136;-2.492;0.448;0.938;-0.399;-0.267;-1.153;-0.738;0.038;1.532;-0.705;0.281;-1.293;0.584;0.292;0.003;-1.258;-1.635;-0.386;0.93;-0.509;-1.307;0.741;-1.01;-2.425;0.76;1.582;0.455;0.523;-0.632;-2.34;0.269;2.233;0.76;-0.223;0.49;-1.841;0.797;-1.181;0.271;1.24;-1.753;0.425;-0.506;-1.177;-0.691;-0.962;0.714;-1.559;-0.198;-0.936;-0.833;-0.515;0.954;-0.289;-1.261;-0.791;0.584;0.496;-1.079;-1.1;-1.542;-1.054;-1.586
47;88;1;-0.437;0.661;-0.217;0.618;0.79;0.392;-0.162;2.262;0.496;0.709;0.621;0.413;-0.659;-1.06;-1.307;1.603;-0.952;0.247;-0.446;-0.161;-0.34;-0.172;0.219;0.606;-0.459;0.214;0.958;0.766;0.518;-0.615;-0.126;-0.341;0.317;-0.218;-1.112;-0.433;1.418;0.256;-1.614;0.39;-0.077;-1.042;0.712;0.121;0.991;-0.887;-0.186;-1.083;2.044;0.457;0.013;0.11;-0.345;1.356;-0.119;0.051;1.123;-0.732;-0.168;-0.699;-0.753;-0.055;0.648;-0.533;1.227;-0.472;-0.254;-1.185;-1.529;-0.739;0.927;-0.653;-0.139;0.874;-0.405;0.615;0.191;-0.316;-0.938;-0.062
