id;firmbr;firm;brand;city;year;quarter;share;price;sugar;mushy;z1;z2;z3;z4;z5;z6;z7;z8;z9;z10;z11;z12;z13;z14;z15;z16;z17;z18;z19;z20
100903880;1009;1;9;3;88;1;0.0016;0.102;3;0;-0.491;0.035;1.102;-0.191;-0.303;-0.028;0.951;0.117;-0.436;0.396;-3.527;-0.259;0.002;0.076;0.112;0.025;0.094;0.069;0.063;0.064
101103880;1011;1;11;3;88;1;0.004;0.202;12;0;-0.436;0.076;-5.765;-0.217;-0.276;-0.075;-2.817;0.132;-1.226;0.382;4.81;-0.339;-0.044;0.165;0.216;0.165;0.17;0.174;0.142;0.16
101303880;1013;1;13;3;88;1;0.0124;0.146;14;0;-0.429;0.049;-8.546;-0.225;-0.261;-0.044;-3.567;0.121;-0.693;0.333;5.964;-0.289;-0.01;0.096;0.054;0.085;0.101;0.105;0.015;0.111
101703880;1017;1;17;3;88;1;0.0046;0.137;3;1;-0.449;0.031;-0.861;-0.557;-0.304;-0.045;0.689;-0.349;-0.715;0.218;-1.165;0.194;0.008;0.085;0.103;0.14;0.108;0.083;0.109;0.101
103003880;1030;1;30;3;88;1;0.0062;0.124;4;0;-0.484;0.029;1.212;-0.195;-0.301;-0.039;0.549;0.119;-0.616;0.404;-2.841;-0.273;-0.004;0.08;0.019;0.069;0.092;0.084;0.063;0.081
104503880;1045;1;45;3;88;1;0.029;0.101;14;0;-0.424;0.031;-8.127;-0.214;-0.246;-0.023;-3.326;0.106;-0.332;0.289;5.032;-0.236;0.007;0.091;0.044;0.054;-0.028;0.056;0.025;0.065
200503880;2005;2;5;3;88;1;0.0243;0.106;1;0;-0.518;0.032;0.461;-0.221;-0.311;-0.031;1.852;0.121;-0.481;0.389;-4.937;-0.25;0.001;0.059;-0.011;-0.013;0.097;0.07;0.052;0.072
200803880;2008;2;8;3;88;1;0.0322;0.124;11;0;-0.439;0.041;-4.439;-0.199;-0.27;-0.035;-2.323;0.117;-0.547;0.359;3.616;-0.28;-0.003;0.067;0.177;0.102;0.135;0.074;0.089;0.086
201503880;2015;2;15;3;88;1;0.0036;0.109;4;1;-0.436;0.04;-0.867;-0.593;-0.294;-0.031;0.214;-0.331;-0.485;0.195;-0.691;0.163;0.007;0.087;0.04;0.101;0.089;0.091;0.108;0.069
201603880;2016;2;16;3;88;1;0.0428;0.126;3;1;-0.445;0.035;-0.927;-0.569;-0.302;-0.04;0.671;-0.345;-0.626;0.211;-1.078;0.183;0.008;0.086;0.134;0.068;0.093;0.079;0.118;0.082
201903880;2019;2;19;3;88;1;0.005;0.119;13;0;-0.431;0.038;-6.967;-0.212;-0.259;-0.031;-3.078;0.114;-0.48;0.326;4.927;-0.265;0;0.096;0.025;0.063;0.135;0.071;0.067;0.082
202603880;2026;2;26;3;88;1;0.0227;0.111;13;0;-0.431;0.035;-6.917;-0.21;-0.256;-0.027;-3.043;0.111;-0.414;0.317;4.787;-0.255;0.003;0.07;0.026;0.115;0.073;0.067;0.08;0.068
202803880;2028;2;28;3;88;1;0.054;0.14;16;1;-0.444;0.042;-8.232;-0.36;-0.205;-0.031;-3.264;-0.224;-0.454;0.095;1.168;0.036;0.013;0.118;0.108;0.091;0.158;0.092;0.042;0.102
204003880;2040;2;40;3;88;1;0.0011;0.127;10;0;-0.443;0.041;-3.243;-0.193;-0.275;-0.037;-1.924;0.118;-0.579;0.373;2.796;-0.285;-0.005;0.106;0.111;0.102;0.118;0.084;0.224;0.091
204803880;2048;2;48;3;88;1;0.0022;0.142;3;0;-0.501;0.017;1.339;-0.214;-0.306;-0.048;0.999;0.122;-0.774;0.404;-3.748;-0.273;-0.008;0.115;0.102;0.16;0.061;0.101;0.082;0.105
300603880;3006;3;6;3;88;1;0.0032;0.146;20;1;-0.387;0.039;-13.262;-0.305;-0.145;-0.023;-3.059;-0.152;-0.303;0.015;-0.102;-0.067;0.017;0.128;0.154;0.128;0.121;0.115;0.134;0.112
301403880;3014;3;14;3;88;1;0.016;0.18;7;0;-0.463;0.04;0.274;-0.201;-0.292;-0.066;-0.648;0.125;-1.067;0.412;-0.28;-0.313;-0.028;0.133;0.132;0.119;0.195;0.141;0.079;0.142
400203880;4002;4;2;3;88;1;0.0082;0.141;14;0;-0.429;0.047;-8.505;-0.225;-0.26;-0.042;-3.548;0.12;-0.653;0.329;5.884;-0.284;-0.008;0.092;0.185;0.115;0.15;0.114;0.143;0.098
401003880;4010;4;10;3;88;1;0.0064;0.102;6;0;-0.462;0.034;0.192;-0.173;-0.29;-0.027;-0.313;0.115;-0.414;0.392;-0.859;-0.267;0.003;0.065;0.072;0.067;0.081;0.065;-0.029;0.067
401203880;4012;4;12;3;88;1;0.0271;0.082;12;0;-0.432;0.025;-5.571;-0.191;-0.252;-0.015;-2.581;0.103;-0.214;0.303;3.798;-0.228;0.011;0.027;0.103;0.019;0.066;0.049;-0.035;0.053
601803880;6018;6;18;3;88;1;0.0021;0.147;0;0;-0.546;-0.011;-0.401;-0.262;-0.317;-0.052;2.366;0.125;-0.848;0.384;-5.522;-0.252;-0.004;0.111;0.079;0.156;0.093;0.107;0.13;0.113
100404880;1004;1;4;4;88;1;0.0016;0.08;2;1;-0.104;-0.034;0.336;0.354;-0.153;0.012;5.527;-0.749;0.309;-0.076;2.835;-0.449;-0.02;0.054;-0.085;0.017;0.06;0.054;0.062;0.042
100604880;1006;1;6;4;88;1;0.0137;0.136;18;1;-0.192;-0.048;-6.661;0.314;-0.095;-0.019;-3.057;-0.304;-0.238;-0.1;-4.337;-0.496;-0.011;0.106;0.11;0.161;0.037;0.092;0.144;0.096
100704880;1007;1;7;4;88;1;0.0081;0.117;4;1;-0.122;-0.027;1.357;0.369;-0.149;-0.019;3.976;-0.768;-0.258;-0.08;1.854;-0.481;-0.012;0.066;0.044;0.065;0.066;0.08;0.018;0.095
100904880;1009;1;9;4;88;1;0.0232;0.098;3;0;-0.1;-0.026;1.595;0.053;-0.152;-0.004;4.719;0.08;0.008;-0.055;0.124;0.054;-0.016;0.054;0.047;0.066;0.045;0.056;0.05;0.066
101104880;1011;1;11;4;88;1;0.1053;0.143;12;0;-0.182;-0.038;-0.444;-0.017;-0.132;-0.035;-1.709;0.053;-0.53;-0.08;-0.685;0.044;-0.01;0.104;0.098;0.078;0.127;0.093;0.076;0.1
101304880;1013;1;13;4;88;1;0.1041;0.104;14;0;-0.288;-0.015;-2.589;-0.015;-0.095;-0.007;-1.99;0.035;-0.041;-0.044;-0.451;0.038;-0.017;0.073;0.028;0.055;0.097;0.07;0.015;0.06
101704880;1017;1;17;4;88;1;0.0278;0.123;3;1;-0.121;-0.025;0.959;0.305;-0.149;-0.025;5.049;-0.808;-0.361;-0.074;2.358;-0.493;-0.011;0.075;0.092;0.064;0.127;0.102;0.037;0.081
103004880;1030;1;30;4;88;1;0.0049;0.118;4;0;-0.116;-0.025;1.873;0.052;-0.149;-0.02;4.038;0.083;-0.279;-0.06;-0.009;0.058;-0.013;0.096;-0.012;0.08;0.092;0.084;0.098;0.092
104504880;1045;1;45;4;88;1;0.0221;0.101;14;0;-0.295;-0.014;-2.636;-0.014;-0.092;-0.006;-1.941;0.034;-0.022;-0.041;-0.419;0.037;-0.017;0.056;0.046;0.093;0.036;0.05;0.08;0.066
200504880;2005;2;5;4;88;1;0.0086;0.123;1;0;-0.106;-0.024;0.829;0.138;-0.151;-0.025;6.925;0.117;-0.373;-0.055;1.228;0.085;-0.012;0.08;0.101;0.089;0.108;0.08;-0.024;0.089
200804880;2008;2;8;4;88;1;0.019;0.114;11;0;-0.19;-0.023;0.172;-0.016;-0.131;-0.015;-1.03;0.048;-0.188;-0.081;-0.606;0.042;-0.013;0.096;0.034;0.069;0.083;0.084;0.04;0.08
201504880;2015;2;15;4;88;1;0.0041;0.103;4;1;-0.119;-0.029;1.304;0.398;-0.149;-0.008;3.839;-0.739;-0.057;-0.083;1.892;-0.47;-0.015;0.077;0.008;0.049;0.049;0.081;0.1;0.068
201604880;2016;2;16;4;88;1;0.023;0.135;3;1;-0.124;-0.021;0.969;0.277;-0.148;-0.037;5.158;-0.829;-0.58;-0.073;2.351;-0.505;-0.008;0.082;0.156;0.032;0.143;0.103;0.082;0.102
201904880;2019;2;19;4;88;1;0.0072;0.135;13;0;-0.203;-0.033;-1.228;-0.018;-0.125;-0.027;-2.15;0.048;-0.399;-0.077;-0.693;0.044;-0.012;0.112;0.055;0.146;0.062;0.103;0.007;0.103
202604880;2026;2;26;4;88;1;0.0463;0.121;13;0;-0.221;-0.025;-1.307;-0.018;-0.119;-0.018;-2.005;0.044;-0.234;-0.073;-0.65;0.043;-0.014;0.079;-0.002;0.06;0.128;0.087;0.087;0.087
202804880;2028;2;28;4;88;1;0.0054;0.171;16;1;-0.154;-0.065;-3.925;0.404;-0.122;-0.044;-3.476;-0.466;-0.67;-0.12;-3.854;-0.539;0;0.138;0.19;0.17;0.133;0.134;0.133;0.133
204004880;2040;2;40;4;88;1;0.0103;0.117;10;0;-0.172;-0.025;0.736;-0.013;-0.136;-0.018;-0.457;0.052;-0.231;-0.081;-0.592;0.043;-0.013;0.088;0.021;0.137;0.09;0.093;0.152;0.077
204804880;2048;2;48;4;88;1;0.0106;0.129;3;0;-0.116;-0.025;1.677;0.088;-0.149;-0.03;5.031;0.099;-0.454;-0.058;0.384;0.07;-0.011;0.124;0.143;0.137;0.064;0.094;0.026;0.091
300604880;3006;3;6;4;88;1;0.0131;0.14;20;1;-0.233;-0.051;-9.572;0.294;-0.077;-0.016;-3.055;-0.249;-0.191;-0.064;-4.465;-0.432;-0.015;0.115;0.157;0.157;0.095;0.096;0.061;0.097
301404880;3014;3;14;4;88;1;0.1467;0.096;7;0;-0.14;-0.02;1.75;-0.002;-0.145;-0.004;1.503;0.057;0.006;-0.073;-0.44;0.042;-0.015;0.058;0.08;0.076;0.055;0.04;0.102;0.045
400204880;4002;4;2;4;88;1;0.0142;0.147;14;0;-0.207;-0.04;-2.079;-0.02;-0.123;-0.034;-2.707;0.049;-0.52;-0.074;-0.758;0.045;-0.011;0.092;0.113;0.122;0.094;0.112;0.121;0.107
401004880;4010;4;10;4;88;1;0.0177;0.091;6;0;-0.128;-0.02;1.873;0.005;-0.147;-0.001;2.214;0.059;0.063;-0.069;-0.364;0.042;-0.016;0.05;0.03;0.025;0.046;0.058;0.126;0.053
401204880;4012;4;12;4;88;1;0.0247;0.102;12;0;-0.227;-0.016;-0.597;-0.016;-0.118;-0.008;-1.435;0.042;-0.054;-0.074;-0.583;0.041;-0.015;0.054;0.067;0.107;0.036;0.075;0.091;0.06
601804880;6018;6;18;4;88;1;0.0068;0.154;0;0;-0.119;-0.013;0.12;0.223;-0.149;-0.056;8.363;0.153;-0.942;-0.06;2.45;0.117;-0.006;0.124;0.139;0.133;0.136;0.113;0.149;0.122
100405880;1004;1;4;5;88;1;0.0016;0.104;2;1;0.507;-0.034;-2.61;-0.433;-0.389;-0.035;1.675;-0.6;-0.564;-0.275;1.863;-0.667;0.012;0.067;0.012;0.01;0.008;0.074;0.033;0.071
100605880;1006;1;6;5;88;1;0.0349;0.104;18;1;0.751;-0.045;-3.561;-0.545;-0.136;-0.014;-2.413;-0.126;-0.183;-0.363;-6.931;-0.421;0.018;0.06;0.036;0.015;0.029;0.076;0.032;0.076
100705880;1007;1;7;5;88;1;0.0016;0.14;4;1;0.504;-0.054;-0.728;-0.511;-0.385;-0.06;0.386;-0.61;-1.002;-0.267;0.535;-0.664;0.02;0.113;0.103;0.144;0.169;0.11;0.095;0.112
100905880;1009;1;9;5;88;1;0.0216;0.068;3;0;0.521;-0.021;-1.092;-0.014;-0.39;-0.016;0.598;0.063;-0.236;-0.176;-0.555;0.003;0.011;0.057;0.014;0.038;0.038;0.05;-0.006;0.028
101105880;1011;1;11;5;88;1;0.0309;0.18;12;0;0.515;-0.055;4.518;0.044;-0.358;-0.077;-4.408;0.069;-1.285;-0.176;-2.332;-0.013;0.018;0.153;0.181;0.14;0.124;0.146;0.21;0.141
101305880;1013;1;13;5;88;1;0.0113;0.149;14;0;0.539;-0.043;3.136;0.018;-0.317;-0.052;-4.563;0.054;-0.83;-0.172;-2.639;-0.029;0.019;0.111;0.073;0.156;0.103;0.129;0.126;0.112
101705880;1017;1;17;5;88;1;0.0419;0.11;3;1;0.503;-0.037;-1.593;-0.464;-0.386;-0.04;0.97;-0.592;-0.64;-0.272;1.158;-0.658;0.014;0.078;0.108;0.073;0.031;0.062;0.051;0.057
103005880;1030;1;30;5;88;1;0.0057;0.115;4;0;0.525;-0.035;-0.279;0.008;-0.394;-0.045;0.096;0.074;-0.73;-0.183;-0.707;0.006;0.011;0.09;0.097;0.115;0.041;0.078;0.192;0.085
104505880;1045;1;45;5;88;1;0.0107;0.139;14;0;0.544;-0.041;2.852;0.015;-0.31;-0.046;-4.426;0.052;-0.737;-0.171;-2.609;-0.031;0.018;0.105;0.132;-0.015;0.067;0.079;0.029;0.102
200505880;2005;2;5;5;88;1;0.0226;0.13;1;0;0.542;-0.038;-3.776;-0.001;-0.407;-0.056;2.245;0.085;-0.928;-0.2;0.204;0.012;0.011;0.08;0.049;0.061;0.132;0.103;0.054;0.086
200805880;2008;2;8;5;88;1;0.0686;0.098;11;0;0.516;-0.031;3.527;0.019;-0.325;-0.03;-3.333;0.049;-0.465;-0.151;-1.799;-0.025;0.012;0.05;0.126;0.047;0.07;0.045;0.003;0.066
201505880;2015;2;15;5;88;1;0.001;0.105;4;1;0.498;-0.035;-0.593;-0.489;-0.382;-0.036;0.223;-0.571;-0.581;-0.269;0.427;-0.637;0.013;0.08;0.104;0.108;0.067;0.068;0.056;0.069
201605880;2016;2;16;5;88;1;0.0132;0.138;3;1;0.508;-0.052;-1.664;-0.491;-0.388;-0.059;1.137;-0.621;-0.983;-0.268;1.249;-0.674;0.02;0.12;0.027;-0.012;0.093;0.103;0.081;0.11
201905880;2019;2;19;5;88;1;0.0156;0.128;13;0;0.533;-0.039;3.29;0.018;-0.317;-0.042;-4.111;0.051;-0.673;-0.164;-2.323;-0.029;0.016;0.112;0.145;0.143;0.061;0.082;0.1;0.095
202605880;2026;2;26;5;88;1;0.0132;0.11;13;0;0.54;-0.035;2.824;0.013;-0.303;-0.033;-3.88;0.047;-0.515;-0.16;-2.257;-0.031;0.014;0.088;0.003;0.1;0.043;0.058;0.037;0.074
202805880;2028;2;28;5;88;1;0.0094;0.19;16;1;0.532;-0.064;2.83;-0.651;-0.309;-0.069;-5.482;-0.389;-1.122;-0.227;-5.088;-0.41;0.034;0.16;0.11;0.159;0.159;0.153;0.136;0.157
204005880;2040;2;40;5;88;1;0.0079;0.146;10;0;0.512;-0.045;3.922;0.033;-0.363;-0.058;-3.324;0.065;-0.96;-0.17;-1.813;-0.01;0.014;0.116;0.12;0.131;0.187;0.098;0.038;0.107
204805880;2048;2;48;5;88;1;0.0098;0.097;3;0;0.527;-0.029;-1.264;-0.006;-0.396;-0.033;0.703;0.071;-0.537;-0.184;-0.517;0.006;0.011;0.058;0.117;0.13;0.005;0.075;0.067;0.067
300605880;3006;3;6;5;88;1;0.0154;0.134;20;1;0.793;-0.051;-5.546;-0.464;-0.137;-0.019;-2.696;-0.125;-0.238;-0.374;-8.003;-0.436;0.025;0.08;0.027;0.099;0.101;0.09;0.067;0.106
301405880;3014;3;14;5;88;1;0.0282;0.136;7;0;0.516;-0.042;2.293;0.028;-0.382;-0.056;-1.748;0.071;-0.926;-0.176;-1.275;0;0.012;0.099;0.147;0.067;0.087;0.093;0.066;0.105
400205880;4002;4;2;5;88;1;0.0134;0.135;14;0;0.546;-0.04;2.732;0.013;-0.308;-0.044;-4.369;0.051;-0.7;-0.17;-2.597;-0.031;0.018;0.105;0.142;0.108;0.08;0.09;0.156;0.112
401005880;4010;4;10;5;88;1;0.0031;0.112;6;0;0.516;-0.034;1.592;0.015;-0.382;-0.042;-1.16;0.067;-0.68;-0.174;-1.082;0;0.011;0.075;0.063;0.078;0.05;0.085;0.169;0.076
401205880;4012;4;12;5;88;1;0.0385;0.085;12;0;0.532;-0.03;2.895;0.014;-0.299;-0.023;-3.424;0.044;-0.35;-0.148;-1.931;-0.031;0.01;0.053;-0.009;0.049;0.011;0.045;0.03;0.053
601805880;6018;6;18;5;88;1;0.0044;0.14;0;0;0.549;-0.041;-5.089;0;-0.41;-0.064;3.038;0.09;-1.07;-0.206;0.681;0.014;0.012;0.108;0.081;0.091;0.134;0.1;0.068;0.108
100407880;1004;1;4;7;88;1;0.0304;0.074;2;1;0.75;-0.052;1.84;0.492;-0.475;-0.022;0.839;-0.726;-0.328;-0.609;-0.755;-0.717;0.013;0.035;0.082;0.054;0.066;0.049;0.018;0.04
100607880;1006;1;6;7;88;1;0.0368;0.116;18;1;0.505;-0.046;-1.522;0.682;-0.431;-0.051;-8.381;-0.471;-0.855;-0.671;-13.682;-0.805;0.024;0.093;0.152;0.18;0.079;0.067;0.069;0.084
100707880;1007;1;7;7;88;1;0.008;0.124;4;1;0.732;-0.046;2.394;0.456;-0.479;-0.07;-0.917;-0.775;-1.197;-0.596;-2.253;-0.709;0.023;0.086;0.103;0.041;0.087;0.101;0.09;0.106
100907880;1009;1;9;7;88;1;0.0099;0.115;3;0;0.734;-0.042;2.356;0.08;-0.484;-0.061;0.105;0.231;-1.049;-0.548;-2.295;-0.07;0.02;0.076;0.085;0.079;0.042;0.079;0.12;0.088
101107880;1011;1;11;7;88;1;0.0198;0.162;12;0;0.677;-0.01;0.275;-0.095;-0.483;-0.095;-7.037;0.13;-1.652;-0.562;-6.455;-0.021;0.022;0.126;0.107;0.166;0.095;0.125;0.107;0.122
101307880;1013;1;13;7;88;1;0.0045;0.113;14;0;0.619;-0.035;-0.987;-0.124;-0.469;-0.056;-7.445;0.086;-0.938;-0.577;-7.675;-0.014;0.02;0.067;0.166;0.15;0.075;0.076;0.122;0.076
101707880;1017;1;17;7;88;1;0.0831;0.103;3;1;0.739;-0.048;2.144;0.465;-0.478;-0.048;0.036;-0.761;-0.811;-0.6;-1.525;-0.71;0.019;0.079;0.111;-0.033;0.044;0.061;0.031;0.073
103007880;1030;1;30;7;88;1;0.0143;0.101;4;0;0.731;-0.048;2.479;0.016;-0.484;-0.047;-0.93;0.192;-0.789;-0.543;-2.804;-0.051;0.018;0.066;0.05;0.066;0.107;0.065;0.14;0.077
104507880;1045;1;45;7;88;1;0.0117;0.13;14;0;0.634;-0.027;-0.965;-0.123;-0.474;-0.068;-7.646;0.094;-1.149;-0.574;-7.599;-0.015;0.021;0.117;0.081;0.123;0.137;0.095;0.081;0.094
200507880;2005;2;5;7;88;1;0.0821;0.099;1;0;0.742;-0.05;1.915;0.115;-0.484;-0.044;2.299;0.247;-0.721;-0.546;-1.494;-0.082;0.017;0.066;0.007;-0.045;0.076;0.073;0.079;0.061
200807880;2008;2;8;7;88;1;0.0928;0.075;11;0;0.634;-0.051;0.529;-0.115;-0.47;-0.031;-5.572;0.084;-0.518;-0.569;-6.165;-0.013;0.017;0.034;0.147;0.116;0.06;0.038;0.049;0.037
201507880;2015;2;15;7;88;1;0.0009;0.129;4;1;0.732;-0.046;2.42;0.441;-0.479;-0.075;-0.916;-0.785;-1.298;-0.594;-2.271;-0.706;0.024;0.113;0.091;0.103;0.094;0.112;0.032;0.093
201607880;2016;2;16;7;88;1;0.0181;0.121;3;1;0.737;-0.046;2.19;0.413;-0.479;-0.067;0.112;-0.798;-1.148;-0.592;-1.608;-0.697;0.022;0.113;0.11;0.161;0.124;0.079;0.016;0.082
201907880;2019;2;19;7;88;1;0.0057;0.149;13;0;0.66;-0.017;-0.347;-0.113;-0.48;-0.083;-7.382;0.111;-1.434;-0.567;-6.997;-0.017;0.021;0.124;0.079;0.07;0.105;0.117;0.042;0.116
202607880;2026;2;26;7;88;1;0.0041;0.15;13;0;0.661;-0.017;-0.345;-0.113;-0.48;-0.084;-7.387;0.112;-1.439;-0.567;-6.995;-0.017;0.021;0.115;0.127;0.09;0.106;0.139;0.079;0.117
202807880;2028;2;28;7;88;1;0.0047;0.192;16;1;0.623;-0.023;-0.697;0.7;-0.466;-0.107;-9.03;-0.583;-1.847;-0.642;-11.93;-0.785;0.037;0.134;0.243;0.112;0.153;0.179;0.088;0.161
204007880;2040;2;40;7;88;1;0.0062;0.171;10;0;0.699;-0.006;1.397;-0.044;-0.485;-0.109;-6.088;0.167;-1.912;-0.557;-5.417;-0.032;0.023;0.14;0.224;0.125;0.129;0.141;0.135;0.129
204807880;2048;2;48;7;88;1;0.0062;0.137;3;0;0.732;-0.033;2.288;0.124;-0.484;-0.086;0.157;0.256;-1.497;-0.553;-2.218;-0.081;0.023;0.098;0.103;0.081;0.12;0.101;0.108;0.112
300607880;3006;3;6;7;88;1;0.0125;0.083;20;1;0.463;-0.039;-2.788;0.718;-0.384;-0.032;-8.012;-0.399;-0.517;-0.644;-14.675;-0.773;0.017;0.045;-0.011;0.044;0.03;0.057;0.041;0.051
301407880;3014;3;14;7;88;1;0.0281;0.145;7;0;0.714;-0.024;2.248;0;-0.485;-0.088;-3.696;0.19;-1.538;-0.552;-4.054;-0.045;0.022;0.109;0.012;0.006;0.047;0.113;0.159;0.113
400207880;4002;4;2;7;88;1;0.0077;0.142;14;0;0.644;-0.02;-0.941;-0.122;-0.477;-0.077;-7.799;0.1;-1.314;-0.572;-7.543;-0.016;0.021;0.098;0.112;0.125;0.104;0.107;0.105;0.103
